graph_density,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.1,0.01,20,1,3.2841,"[1, 9, 10, 11, 12, 13, 8, 7, 6, 5, 4, 2, 3, 15, 14, 19, 18, 17, 16, 0]","[0.0726, 0.2857, 0.579, 0.7245, 0.3462, 0.0901, 0.1976, 0.6284, 0.2922, 0.5346, 0.5263, 0.6934, 0.1822, 0.6554, 0.0738, 0.217, 0.4442, 0.2311, 0.2171]","[437.7148, 1120.5278, 1261.1405, 1461.8488, 1470.2037, 2257.3412, 2546.3809, 2934.4718, 3739.4314, 4571.859, 4884.9132, 5717.7588, 6418.3236, 7123.7838, 7788.9698, 7929.627, 8498.7995, 8958.2563, 9739.2046, 0.0]",success,
0.1,0.1,20,3,2.7059,"[11, 12, 13, 8, 7, 6, 5, 4, 2, 3, 15, 0, 14, 19, 18, 17, 16, 0, 10, 9, 1, 0]","[0.7245, 0.3462, 0.0901, 0.1976, 0.6284, 0.2922, 0.5346, 0.5263, 0.6934, 0.1822, 0.9464, 1.1832, 0.0738, 0.217, 0.4442, 0.2311, 0.2171, 0.2963, 0.2857, 0.0726, 0.4093]","[200.7083, 209.0632, 996.2007, 1285.2404, 1673.3313, 2478.2909, 3310.7185, 3623.7727, 4456.6183, 5157.1831, 5862.6433, 0.0, 665.186, 805.8432, 1375.0157, 1834.4725, 2615.4208, 0.0, 140.6127, 823.4257, 1261.1405, 0.0]",success,
0.1,0.5,20,9,1.8289,"[19, 14, 18, 0, 12, 7, 8, 13, 0, 3, 15, 0, 11, 0, 10, 0, 9, 1, 0, 6, 5, 0, 17, 16, 0, 4, 2, 0]","[0.0738, 0.2908, 0.8923, 1.5484, 0.3366, 0.1976, 0.0901, 1.2022, 1.1286, 0.1822, 0.9464, 0.8753, 0.8753, 0.2963, 0.2963, 0.482, 0.0726, 0.4093, 1.7683, 0.2922, 1.4761, 0.4482, 0.2311, 0.2171, 1.7491, 0.5263, 1.2228]","[140.6572, 805.8432, 1375.0157, 0.0, 8.3549, 396.4458, 685.4856, 1472.623, 0.0, 700.5648, 1406.0251, 0.0, 200.7083, 0.0, 140.6127, 0.0, 682.813, 1120.5278, 0.0, 804.9596, 1637.3871, 0.0, 459.4569, 1240.4052, 0.0, 313.0543, 1145.8998, 0.0]",success,
0.1,1,20,6,1.0021,"[14, 19, 18, 17, 0, 3, 15, 16, 0, 7, 8, 1, 0, 6, 5, 11, 10, 0, 12, 13, 9, 0, 4, 2, 0]","[0.0738, 0.217, 0.4442, 0.4482, 1.1286, 0.1822, 0.7294, 0.2171, 1.3097, 0.1976, 0.7027, 0.4093, 1.7683, 0.2922, 0.6008, 0.579, 0.2963, 1.5484, 0.3462, 0.7202, 0.482, 1.7491, 0.5263, 1.2228]","[665.186, 805.8432, 1375.0157, 1834.4725, 0.0, 700.5648, 1406.0251, 2186.9734, 0.0, 388.0909, 677.1307, 1114.8454, 0.0, 804.9596, 1637.3871, 1838.0954, 1978.7082, 0.0, 8.3549, 795.4924, 1478.3054, 0.0, 313.0543, 1145.8998, 0.0]",success,
0.1,1.25,20,25,0.987,"[18, 0, 12, 0, 15, 16, 0, 13, 9, 0, 4, 0, 7, 0, 14, 17, 0, 4, 0, 3, 16, 0, 8, 0, 8, 0, 6, 11, 0, 19, 0, 2, 1, 0, 5, 10, 0, 14, 17, 0, 5, 0, 6, 11, 0, 19, 0, 3, 0, 15, 0, 7, 0, 18, 0, 13, 9, 0, 2, 1, 0]","[0.8923, 1.5484, 1.5484, 0.9464, 0.7294, 0.2171, 1.2022, 0.7202, 0.482, 1.7491, 1.7491, 1.3097, 1.3097, 1.1832, 0.735, 0.4482, 1.7491, 1.7491, 1.1286, 0.9116, 0.2171, 1.112, 1.112, 1.112, 1.112, 1.7683, 0.893, 0.8753, 1.1093, 1.1093, 1.2228, 0.8135, 0.4093, 1.4761, 1.1799, 0.2963, 1.1832, 0.735, 0.4482, 1.4761, 1.4761, 1.7683, 0.893, 0.8753, 1.1093, 1.1093, 1.1286, 1.1286, 0.9464, 0.9464, 1.3097, 1.3097, 0.8923, 0.8923, 1.2022, 0.7202, 0.482, 1.2228, 0.8135, 0.4093]","[284.5862, 0.0, 8.3549, 0.0, 352.7301, 743.2043, 0.0, 393.5687, 734.9752, 0.0, 156.5271, 0.0, 194.0455, 0.0, 332.593, 562.3214, 0.0, 156.5271, 0.0, 350.2824, 740.7566, 0.0, 144.5199, 0.0, 144.5199, 0.0, 402.4798, 502.8339, 0.0, 70.3286, 0.0, 416.4228, 635.2801, 0.0, 416.2138, 556.8265, 0.0, 332.593, 562.3214, 0.0, 416.2138, 0.0, 402.4798, 502.8339, 0.0, 70.3286, 0.0, 350.2824, 0.0, 352.7301, 0.0, 194.0455, 0.0, 284.5862, 0.0, 393.5687, 734.9752, 0.0, 416.4228, 635.2801, 0.0]",success,
0.5,0.01,20,2,1.9041,"[17, 13, 8, 7, 12, 10, 9, 1, 11, 15, 3, 6, 5, 2, 14, 19, 18, 0, 4, 16, 0]","[0.1457, 0.0901, 0.1976, 0.3366, 0.1612, 0.2857, 0.0726, 0.2256, 0.2379, 0.1822, 0.4332, 0.2922, 0.2809, 0.2987, 0.0738, 0.217, 0.3709, 0.4303, 0.2133, 0.2171]","[459.4569, 1246.5943, 1535.6341, 1923.725, 1932.0799, 2072.6926, 2755.5056, 3193.2204, 3393.9287, 4099.3889, 4799.9537, 5604.9133, 6437.3409, 7270.1864, 7935.3724, 8076.0296, 8645.2021, 0.0, 313.0543, 1094.0026, 0.0]",success,
0.5,0.1,20,4,1.6616,"[12, 7, 8, 13, 17, 0, 10, 9, 1, 11, 15, 3, 0, 6, 5, 2, 14, 19, 18, 0, 4, 16, 0]","[0.3366, 0.1976, 0.0901, 0.1457, 0.312, 0.2963, 0.2857, 0.0726, 0.2256, 0.2379, 0.1822, 0.3873, 0.6182, 0.2922, 0.2809, 0.2987, 0.0738, 0.217, 0.3709, 0.4303, 0.2133, 0.2171]","[8.3549, 396.4458, 685.4856, 1472.623, 1932.0799, 0.0, 140.6127, 823.4257, 1261.1405, 1461.8488, 2167.309, 2867.8739, 0.0, 804.9596, 1637.3871, 2470.2327, 3135.4187, 3276.0759, 3845.2483, 0.0, 313.0543, 1094.0026, 0.0]",success,
0.5,0.5,20,10,1.3085,"[12, 10, 0, 8, 17, 0, 18, 0, 19, 14, 0, 7, 13, 0, 4, 16, 0, 2, 5, 0, 1, 9, 0, 6, 0, 11, 15, 3, 0]","[0.1612, 0.2963, 0.4637, 0.1517, 0.312, 0.3709, 0.3709, 0.5879, 0.0738, 0.6617, 0.6423, 0.1849, 0.4574, 0.4303, 0.2133, 0.2171, 0.8721, 0.2809, 0.7752, 0.4093, 0.0726, 0.3531, 0.6182, 0.6182, 0.6133, 0.2379, 0.1822, 0.3873]","[8.3549, 148.9676, 0.0, 289.0398, 748.4966, 0.0, 569.1725, 0.0, 140.6572, 805.8432, 0.0, 388.0909, 1175.2284, 0.0, 313.0543, 1094.0026, 0.0, 832.8455, 1665.2731, 0.0, 437.7148, 1120.5278, 0.0, 804.9596, 0.0, 200.7083, 906.1685, 1606.7333, 0.0]",success,
0.5,1,20,12,1.0009,"[15, 0, 7, 13, 0, 5, 0, 3, 0, 8, 17, 0, 1, 0, 6, 9, 0, 12, 10, 0, 2, 18, 0, 4, 16, 0, 11, 0, 14, 19, 0]","[0.5277, 0.6423, 0.1849, 0.4574, 0.7752, 0.7752, 0.3873, 0.3873, 0.4637, 0.1517, 0.312, 0.4093, 0.4093, 0.6182, 0.2651, 0.3531, 0.4132, 0.1612, 0.2963, 0.8721, 0.5012, 0.3709, 0.4303, 0.2133, 0.2171, 0.6133, 0.6133, 0.6617, 0.0738, 0.5879]","[705.4602, 0.0, 388.0909, 1175.2284, 0.0, 832.4275, 0.0, 700.5648, 0.0, 289.0398, 748.4966, 0.0, 437.7148, 0.0, 804.9596, 1487.7726, 0.0, 8.3549, 148.9676, 0.0, 832.8455, 1402.018, 0.0, 313.0543, 1094.0026, 0.0, 200.7083, 0.0, 665.186, 805.8432, 0.0]",success,
0.5,1.25,20,32,1.0925,"[3, 0, 14, 0, 9, 0, 11, 0, 6, 0, 19, 0, 11, 0, 13, 0, 9, 0, 7, 0, 8, 0, 1, 0, 1, 0, 15, 0, 2, 18, 0, 7, 0, 12, 0, 5, 16, 0, 5, 16, 0, 2, 18, 0, 17, 0, 13, 0, 4, 0, 6, 0, 4, 0, 14, 0, 19, 0, 10, 0, 15, 0, 8, 0, 17, 0, 3, 0]","[0.3873, 0.6617, 0.6617, 0.3531, 0.3531, 0.6133, 0.6133, 0.6182, 0.6182, 0.5879, 0.5879, 0.6133, 0.6133, 0.4574, 0.4574, 0.3531, 0.3531, 0.6423, 0.6423, 0.4637, 0.4637, 0.4093, 0.4093, 0.4093, 0.4093, 0.5277, 0.5277, 0.8721, 0.5012, 0.3709, 0.6423, 0.6423, 0.4132, 0.4132, 0.7752, 0.5581, 0.2171, 0.7752, 0.5581, 0.2171, 0.8721, 0.5012, 0.3709, 0.312, 0.312, 0.4574, 0.4574, 0.4303, 0.4303, 0.6182, 0.6182, 0.4303, 0.4303, 0.6617, 0.6617, 0.5879, 0.5879, 0.2963, 0.2963, 0.5277, 0.5277, 0.4637, 0.4637, 0.312, 0.312, 0.3873, 0.3873]","[350.2824, 0.0, 332.593, 0.0, 341.4065, 0.0, 100.3541, 0.0, 402.4798, 0.0, 70.3286, 0.0, 100.3541, 0.0, 393.5687, 0.0, 341.4065, 0.0, 194.0455, 0.0, 144.5199, 0.0, 218.8574, 0.0, 218.8574, 0.0, 352.7301, 0.0, 416.4228, 701.009, 0.0, 194.0455, 0.0, 8.3549, 0.0, 416.2138, 806.6879, 0.0, 416.2138, 806.6879, 0.0, 416.4228, 701.009, 0.0, 229.7284, 0.0, 393.5687, 0.0, 156.5271, 0.0, 402.4798, 0.0, 156.5271, 0.0, 332.593, 0.0, 70.3286, 0.0, 140.6127, 0.0, 352.7301, 0.0, 144.5199, 0.0, 229.7284, 0.0, 350.2824, 0.0]",success,
