graph_density,alpha,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.5,0.001,0.1,15,2,1.7948,"[6, 3, 1, 11, 9, 10, 12, 13, 0, 7, 8, 14, 5, 2, 4, 0]","[0.1229, 0.1318, 0.2256, 0.298, 0.2857, 0.1612, 0.3462, 0.4574, 0.2786, 0.1976, 0.7373, 0.326, 0.2809, 0.8155, 0.3752]","[190.2819, 516.7814, 1261.7988, 1699.5136, 1927.196, 2597.3402, 3430.1857, 4130.7506, 0.0, 130.7916, 607.0208, 920.0751, 1390.1613, 2357.7036, 2728.7928, 0.0]",success,
0.5,0.001,0.5,15,4,1.6352,"[7, 8, 0, 14, 5, 2, 4, 0, 6, 3, 11, 1, 0, 9, 10, 12, 13, 0]","[0.1976, 0.4396, 0.8183, 0.326, 0.2809, 0.8155, 0.3752, 0.3534, 0.1229, 0.2353, 0.2256, 0.4093, 0.5554, 0.2857, 0.1612, 0.3462, 0.4574]","[130.7916, 607.0208, 0.0, 313.0543, 783.1405, 1750.6828, 2121.772, 0.0, 190.2819, 516.7814, 954.4962, 1699.5136, 0.0, 227.6824, 897.8266, 1730.6721, 2431.237, 0.0]",success,
0.5,0.001,0.9,15,5,1.5828,"[14, 2, 5, 6, 0, 3, 11, 1, 0, 9, 10, 12, 13, 0, 4, 0, 8, 7, 0]","[0.6069, 0.2809, 0.2922, 0.3534, 0.3873, 0.2353, 0.2256, 0.4093, 0.5554, 0.2857, 0.1612, 0.3462, 0.4574, 0.3752, 0.3752, 0.4396, 0.1976, 0.2786]","[313.0543, 1280.5965, 1750.6828, 1940.9646, 0.0, 326.4995, 764.2143, 1509.2317, 0.0, 227.6824, 897.8266, 1730.6721, 2431.237, 0.0, 371.0892, 0.0, 476.2292, 607.0208, 0.0]",success,
0.5,0.001,1.0,15,5,1.5739,"[10, 12, 13, 0, 9, 11, 1, 3, 0, 14, 2, 5, 6, 0, 4, 0, 8, 7, 0]","[0.1612, 0.3462, 0.4574, 0.5554, 0.298, 0.2256, 0.1318, 0.3873, 0.8183, 0.6069, 0.2809, 0.2922, 0.3534, 0.3752, 0.3752, 0.4396, 0.1976, 0.2786]","[670.1442, 1502.9897, 2203.5545, 0.0, 227.6824, 665.3972, 1410.4146, 1736.9141, 0.0, 313.0543, 1280.5965, 1750.6828, 1940.9646, 0.0, 371.0892, 0.0, 476.2292, 607.0208, 0.0]",success,
0.5,0.001,1.1,15,5,1.5881,"[3, 11, 1, 0, 8, 7, 13, 7, 0, 3, 9, 10, 12, 7, 0, 7, 14, 5, 2, 5, 6, 0, 4, 0]","[0.2353, 0.2256, 0.4093, 0.4396, 0.1976, 0.1849, 0.1849, 0.2786, 0.3873, 0.1681, 0.2857, 0.1612, 0.3366, 0.2786, 0.2786, 0.5398, 0.326, 0.2809, 0.2809, 0.2922, 0.3534, 0.3752, 0.3752]","[326.4995, 764.2143, 1509.2317, 0.0, 476.2292, 476.2292, 1176.7941, 1307.5856, 0.0, 0.0, 227.6824, 897.8266, 1730.6721, 1730.6721, 0.0, 0.0, 313.0543, 313.0543, 1280.5965, 1750.6828, 1940.9646, 0.0, 371.0892, 0.0]",success,
0.5,0.001,1.2,15,4,1.6019,"[4, 8, 0, 7, 14, 5, 2, 5, 6, 0, 3, 11, 1, 0, 3, 9, 10, 12, 13, 7, 0]","[0.5756, 0.4396, 0.2786, 0.5398, 0.326, 0.2809, 0.2809, 0.2922, 0.3534, 0.3873, 0.2353, 0.2256, 0.4093, 0.3873, 0.1681, 0.2857, 0.1612, 0.3462, 0.1849, 0.2786]","[371.0892, 847.3185, 0.0, 0.0, 313.0543, 313.0543, 1280.5965, 1750.6828, 1940.9646, 0.0, 326.4995, 764.2143, 1509.2317, 0.0, 0.0, 227.6824, 897.8266, 1730.6721, 2431.237, 2562.0286, 0.0]",success,
0.5,0.001,1.3,15,4,1.6154,"[7, 14, 5, 2, 5, 6, 0, 3, 9, 11, 1, 0, 7, 10, 12, 13, 7, 0, 4, 8, 0]","[0.5398, 0.326, 0.2809, 0.2809, 0.2922, 0.3534, 0.3873, 0.1681, 0.298, 0.2256, 0.4093, 0.2786, 0.3394, 0.1612, 0.3462, 0.1849, 0.2786, 0.3752, 0.5756, 0.4396]","[0.0, 313.0543, 313.0543, 1280.5965, 1750.6828, 1940.9646, 0.0, 326.4995, 554.182, 991.8967, 1736.9141, 0.0, 0.0, 670.1442, 1502.9897, 2203.5545, 2334.3461, 0.0, 371.0892, 847.3185, 0.0]",success,
0.5,0.1,1e-10,15,1,1.9118,"[8, 7, 14, 5, 2, 6, 3, 1, 11, 9, 10, 12, 13, 4, 0]","[0.1976, 0.5398, 0.326, 0.2809, 0.5705, 0.1229, 0.1318, 0.2256, 0.298, 0.2857, 0.1612, 0.3462, 0.5291, 0.3752]","[476.2292, 607.0208, 920.0751, 1390.1613, 2357.7036, 2547.9854, 2874.485, 3619.5024, 4057.2171, 4284.8996, 4955.0438, 5787.8893, 6488.4541, 6859.5434, 0.0]",success,
0.5,0.1,1e-05,15,1,1.9115,"[4, 13, 12, 10, 9, 11, 1, 3, 6, 5, 2, 14, 7, 8, 0]","[0.5291, 0.3462, 0.1612, 0.2857, 0.298, 0.2256, 0.1318, 0.1229, 0.2922, 0.2809, 0.6069, 0.5398, 0.1976, 0.4396]","[371.0892, 1071.6541, 1904.4996, 2574.6438, 2802.3262, 3240.041, 3985.0584, 4311.5579, 4501.8398, 4971.9261, 5939.4683, 6252.5226, 6383.3141, 6859.5434, 0.0]",success,
0.5,0.1,0.001,15,1,1.9085,"[8, 7, 14, 2, 5, 6, 3, 1, 11, 9, 10, 12, 13, 4, 0]","[0.1976, 0.5398, 0.6069, 0.2809, 0.2922, 0.1229, 0.1318, 0.2256, 0.298, 0.2857, 0.1612, 0.3462, 0.5291, 0.3752]","[476.2292, 607.0208, 920.0751, 1887.6173, 2357.7036, 2547.9854, 2874.485, 3619.5024, 4057.2171, 4284.8996, 4955.0438, 5787.8893, 6488.4541, 6859.5434, 0.0]",success,
