graph_density,alpha,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.05,1,0.01,15,1,3.0484,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1,0.3,15,5,2.1432,"[6, 5, 4, 3, 2, 0, 7, 8, 0, 1, 0, 14, 13, 12, 0, 11, 9, 10, 0]","[0.2922, 0.5346, 0.7165, 0.6934, 1.2228, 0.6372, 0.1976, 0.4396, 0.4093, 0.4093, 1.9762, 0.7115, 0.3462, 0.9184, 1.3677, 0.298, 0.2857, 1.3554]","[190.2819, 660.3681, 1031.4574, 1357.9569, 2325.4991, 0.0, 130.7916, 607.0208, 0.0, 745.0174, 0.0, 313.0543, 1013.6191, 1846.4646, 0.0, 437.7148, 665.3972, 1335.5414, 0.0]",success,
0.05,1,1.0,15,5,1.0021,"[14, 13, 12, 0, 10, 9, 8, 0, 3, 2, 1, 0, 4, 5, 6, 7, 0, 11, 0]","[0.7115, 0.3462, 0.9184, 1.3554, 0.2857, 0.6301, 0.4396, 1.9162, 0.6934, 0.8135, 0.4093, 2.0924, 0.5346, 0.2922, 0.6284, 0.6372, 1.3677, 1.3677]","[313.0543, 1013.6191, 1846.4646, 0.0, 670.1442, 897.8266, 1374.0558, 0.0, 326.4995, 1294.0418, 2039.0591, 0.0, 371.0892, 841.1755, 1031.4574, 1162.249, 0.0, 437.7148, 0.0]",success,
0.05,10000,0.0001,15,1,3.0999,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,10000,0.001,15,1,3.0934,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,10000,0.01,15,1,3.0265,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,10000,0.3,15,6,2.1399,"[14, 13, 12, 0, 7, 8, 0, 4, 3, 2, 0, 1, 0, 6, 5, 0, 11, 9, 10, 0]","[0.7115, 0.3462, 0.9184, 0.6372, 0.1976, 0.4396, 2.0924, 0.7165, 0.6934, 1.2228, 0.4093, 0.4093, 1.2656, 0.2922, 1.5578, 1.3677, 0.298, 0.2857, 1.3554]","[313.0543, 1013.6191, 1846.4646, 0.0, 130.7916, 607.0208, 0.0, 371.0892, 697.5888, 1665.131, 0.0, 745.0174, 0.0, 190.2819, 660.3681, 0.0, 437.7148, 665.3972, 1335.5414, 0.0]",success,
0.05,10000,1.0,15,11,1.0,"[9, 0, 2, 0, 11, 0, 13, 0, 1, 0, 10, 0, 4, 5, 8, 0, 14, 12, 0, 3, 0, 7, 0, 6, 0]","[1.0697, 1.2228, 1.2228, 1.3677, 1.3677, 1.2647, 1.2647, 0.4093, 0.4093, 1.3554, 1.3554, 2.0924, 0.5346, 1.1182, 0.4396, 1.9762, 1.0578, 0.9184, 1.9162, 1.9162, 0.6372, 0.6372, 1.2656, 1.2656]","[227.6824, 0.0, 967.5422, 0.0, 437.7148, 0.0, 700.5648, 0.0, 745.0174, 0.0, 670.1442, 0.0, 371.0892, 841.1755, 1317.4047, 0.0, 313.0543, 1145.8998, 0.0, 326.4995, 0.0, 130.7916, 0.0, 190.2819, 0.0]",success,
0.05,1000000,0.0001,15,1,3.0998,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1000000,0.001,15,1,3.0923,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
