graph_density,alpha,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.95,0.0001,0.01,15,1,1.4547,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,0.0001,0.3,15,2,1.7406,"[4, 7, 13, 8, 12, 10, 0, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2963, 0.3531, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 0.0, 227.6824, 972.6998, 1410.4146, 1736.9141, 1927.196, 2397.2823, 3364.8245, 3677.8788, 0.0]",success,
0.95,0.0001,1.0,15,2,2.5576,"[4, 7, 13, 8, 12, 10, 0, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2963, 0.3531, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 0.0, 227.6824, 972.6998, 1410.4146, 1736.9141, 1927.196, 2397.2823, 3364.8245, 3677.8788, 0.0]",success,
0.95,1,0.0001,15,1,1.4535,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1,0.001,15,1,1.4506,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1,0.01,15,1,1.4218,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1,0.3,15,7,1.0849,"[7, 8, 13, 0, 12, 10, 0, 11, 1, 9, 0, 6, 3, 0, 5, 2, 0, 14, 0, 4, 0]","[0.1976, 0.0901, 0.4574, 0.4132, 0.1612, 0.2963, 0.6133, 0.2256, 0.0726, 0.3531, 0.3534, 0.1229, 0.3873, 0.4459, 0.2809, 0.6252, 0.3912, 0.3912, 0.3752, 0.3752]","[130.7916, 607.0208, 1307.5856, 0.0, 832.8455, 1502.9897, 0.0, 437.7148, 1182.7322, 1410.4146, 0.0, 190.2819, 516.7814, 0.0, 470.0863, 1437.6285, 0.0, 313.0543, 0.0, 371.0892, 0.0]",success,
0.95,1,1.0,15,14,1.0,"[8, 0, 13, 0, 7, 0, 5, 0, 6, 0, 9, 0, 1, 0, 3, 0, 2, 0, 14, 0, 4, 0, 12, 0, 10, 0, 11, 0]","[0.4396, 0.4574, 0.4574, 0.2786, 0.2786, 0.4459, 0.4459, 0.3534, 0.3534, 0.3531, 0.3531, 0.4093, 0.4093, 0.3873, 0.3873, 0.6252, 0.6252, 0.3912, 0.3912, 0.3752, 0.3752, 0.4132, 0.4132, 0.2963, 0.2963, 0.6133, 0.6133]","[476.2292, 0.0, 700.5648, 0.0, 130.7916, 0.0, 470.0863, 0.0, 190.2819, 0.0, 227.6824, 0.0, 745.0174, 0.0, 326.4995, 0.0, 967.5422, 0.0, 313.0543, 0.0, 371.0892, 0.0, 832.8455, 0.0, 670.1442, 0.0, 437.7148, 0.0]",success,
0.95,10000,0.0001,15,1,1.4532,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,10000,0.001,15,1,1.4473,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
